"","NOME","URL","PRECO"
"1","Laranjeiras 2qts: amplo, estiloso e acolhedor!","https://www.airbnb.com.br/rooms/888303743032736974?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697667111_g0%2Fh%2FmF0AWEb2NaM&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$1.509"
"2","Apartamento funcional e bem localizado","https://www.airbnb.com.br/rooms/16869335?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-27&check_out=2023-11-01&source_impression_id=p3_1697667111_54DQjwzRDSbupEK5&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$928"
"3","Espaço aconchegante próximo ao metrô na Tijuca/RJ","https://www.airbnb.com.br/rooms/52006866?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1697667111_ZP3f3C2h6YvdExJl&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$1.203"
"4","ALMA de Copa","https://www.airbnb.com.br/rooms/996627777399432636?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697667111_DNVf44kBQrzs2cOU&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$1.588"
"5","Apto maravilhoso próximo a Barra/Rio Centro/praia.","https://www.airbnb.com.br/rooms/860868567938994040?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-18&check_out=2023-10-23&source_impression_id=p3_1697667111_s%2BKg0j7PsB8qq2V%2B&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$1.904"
"6","Praia do Flamengo: conforto, localização, internet","https://www.airbnb.com.br/rooms/38777012?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-18&check_out=2023-10-23&source_impression_id=p3_1697667111_80XQlcdQW6R3f62t&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$1.434"
"7","Novíssimo ape no Recreio Condomínio Pátio do Sol","https://www.airbnb.com.br/rooms/832791632827880796?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1697667111_MeVyJtIs%2FydDPci7&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$978"
"8","Lindo apto Avenida Beira Mar EXCELENTE LOCALIZAÇÃO","https://www.airbnb.com.br/rooms/10809394?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-26&check_out=2023-12-01&source_impression_id=p3_1697667111_buHSC9BgE6yvECwt&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$1.100"
"9","suíte na praia/ lucio costa.","https://www.airbnb.com.br/rooms/1003012691137179800?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-24&check_out=2023-10-29&source_impression_id=p3_1697667111_C9sia40IorShgq2B&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$458"
"10","StudioCentroRj","https://www.airbnb.com.br/rooms/1003587790124035167?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697667111_jQGn89pnz4CKNMrh&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$625"
