title;rating;score;director
Um Sonho de Liberdade;Um Sonho de Liberdade;Um Sonho de Liberdade;Um Sonho de Liberdade
O Poderoso Chefão;O Poderoso Chefão;O Poderoso Chefão;O Poderoso Chefão
Batman: O Cavaleiro das Trevas;Batman: O Cavaleiro das Trevas;Batman: O Cavaleiro das Trevas;Batman: O Cavaleiro das Trevas
O Poderoso Chefão II;O Poderoso Chefão II;O Poderoso Chefão II;O Poderoso Chefão II
12 Homens e uma Sentença;12 Homens e uma Sentença;12 Homens e uma Sentença;12 Homens e uma Sentença
A Lista de Schindler;A Lista de Schindler;A Lista de Schindler;A Lista de Schindler
O Senhor dos Anéis: O Retorno do Rei;O Senhor dos Anéis: O Retorno do Rei;O Senhor dos Anéis: O Retorno do Rei;O Senhor dos Anéis: O Retorno do Rei
Pulp Fiction - Tempo de Violência;Pulp Fiction - Tempo de Violência;Pulp Fiction - Tempo de Violência;Pulp Fiction - Tempo de Violência
O Senhor dos Anéis: A Sociedade do Anel;O Senhor dos Anéis: A Sociedade do Anel;O Senhor dos Anéis: A Sociedade do Anel;O Senhor dos Anéis: A Sociedade do Anel
Três Homens em Conflito;Três Homens em Conflito;Três Homens em Conflito;Três Homens em Conflito
Forrest Gump: O Contador de Histórias;Forrest Gump: O Contador de Histórias;Forrest Gump: O Contador de Histórias;Forrest Gump: O Contador de Histórias
Clube da Luta;Clube da Luta;Clube da Luta;Clube da Luta
O Senhor dos Anéis: As Duas Torres;O Senhor dos Anéis: As Duas Torres;O Senhor dos Anéis: As Duas Torres;O Senhor dos Anéis: As Duas Torres
A Origem;A Origem;A Origem;A Origem
Star Wars: Episódio V - O Império Contra-Ataca;Star Wars: Episódio V - O Império Contra-Ataca;Star Wars: Episódio V - O Império Contra-Ataca;Star Wars: Episódio V - O Império Contra-Ataca
Matrix;Matrix;Matrix;Matrix
Os Bons Companheiros;Os Bons Companheiros;Os Bons Companheiros;Os Bons Companheiros
Um Estranho no Ninho;Um Estranho no Ninho;Um Estranho no Ninho;Um Estranho no Ninho
Seven: Os Sete Crimes Capitais;Seven: Os Sete Crimes Capitais;Seven: Os Sete Crimes Capitais;Seven: Os Sete Crimes Capitais
A Felicidade Não se Compra;A Felicidade Não se Compra;A Felicidade Não se Compra;A Felicidade Não se Compra
Os Sete Samurais;Os Sete Samurais;Os Sete Samurais;Os Sete Samurais
Homem-Aranha: Através do Aranhaverso;Homem-Aranha: Através do Aranhaverso;Homem-Aranha: Através do Aranhaverso;Homem-Aranha: Através do Aranhaverso
Interestelar;Interestelar;Interestelar;Interestelar
O Silêncio dos Inocentes;O Silêncio dos Inocentes;O Silêncio dos Inocentes;O Silêncio dos Inocentes
O Resgate do Soldado Ryan;O Resgate do Soldado Ryan;O Resgate do Soldado Ryan;O Resgate do Soldado Ryan
Cidade de Deus;Cidade de Deus;Cidade de Deus;Cidade de Deus
A Vida é Bela;A Vida é Bela;A Vida é Bela;A Vida é Bela
À Espera de um Milagre;À Espera de um Milagre;À Espera de um Milagre;À Espera de um Milagre
Star Wars: Episódio IV - Uma Nova Esperança;Star Wars: Episódio IV - Uma Nova Esperança;Star Wars: Episódio IV - Uma Nova Esperança;Star Wars: Episódio IV - Uma Nova Esperança
O Exterminador do Futuro 2: O Julgamento Final;O Exterminador do Futuro 2: O Julgamento Final;O Exterminador do Futuro 2: O Julgamento Final;O Exterminador do Futuro 2: O Julgamento Final
De Volta para o Futuro;De Volta para o Futuro;De Volta para o Futuro;De Volta para o Futuro
A Viagem de Chihiro;A Viagem de Chihiro;A Viagem de Chihiro;A Viagem de Chihiro
O Pianista;O Pianista;O Pianista;O Pianista
Psicose;Psicose;Psicose;Psicose
Parasita;Parasita;Parasita;Parasita
Gladiador;Gladiador;Gladiador;Gladiador
O Rei Leão;O Rei Leão;O Rei Leão;O Rei Leão
O Profissional;O Profissional;O Profissional;O Profissional
A Outra História Americana;A Outra História Americana;A Outra História Americana;A Outra História Americana
Os Infiltrados;Os Infiltrados;Os Infiltrados;Os Infiltrados
Whiplash: Em Busca da Perfeição;Whiplash: Em Busca da Perfeição;Whiplash: Em Busca da Perfeição;Whiplash: Em Busca da Perfeição
O Grande Truque;O Grande Truque;O Grande Truque;O Grande Truque
Os Suspeitos;Os Suspeitos;Os Suspeitos;Os Suspeitos
Túmulo dos Vagalumes;Túmulo dos Vagalumes;Túmulo dos Vagalumes;Túmulo dos Vagalumes
Harakiri;Harakiri;Harakiri;Harakiri
Casablanca;Casablanca;Casablanca;Casablanca
Oppenheimer;Oppenheimer;Oppenheimer;Oppenheimer
